"","STATE","COUNTY","CTYNAME","STNAME","pop09","pop19","pop29","pop39","pop49","pop59","pop69","pop79","pop89"
"169","05","115","Pope County","Arkansas",7975,9151,9869,7923,7140,7951,6833,4723,2507
"170","05","117","Prairie County","Arkansas",922,875,832,836,904,1144,1145,859,545
"171","05","119","Pulaski County","Arkansas",50926,48018,55075,54121,47487,48150,46725,27108,14301
"172","05","121","Randolph County","Arkansas",2340,2288,2117,2193,2027,2285,2193,1577,938
"173","05","123","St. Francis County","Arkansas",2933,2784,3344,3779,3214,3083,3089,1833,935
"174","05","125","Saline County","Arkansas",14802,16020,13904,16518,15959,15543,14343,10545,4803
"175","05","127","Scott County","Arkansas",1267,1323,1129,1094,1098,1491,1322,1033,524
"176","05","129","Searcy County","Arkansas",808,907,727,793,867,1126,1220,920,513
"177","05","131","Sebastian County","Arkansas",16928,16906,17092,16107,15362,16500,14784,9255,4893
"178","05","133","Sevier County","Arkansas",2663,2640,2247,1972,2015,2016,1705,1112,637
"179","05","135","Sharp County","Arkansas",1878,2023,1744,1641,1868,2352,2662,2136,1138
"180","05","137","Stone County","Arkansas",1241,1376,1203,1135,1273,1755,2038,1623,862
"181","05","139","Union County","Arkansas",5065,5030,4535,4583,4602,5094,4996,3086,1691
"182","05","141","Van Buren County","Arkansas",1660,1862,1473,1623,1823,2324,2595,2045,1140
"183","05","143","Washington County","Arkansas",32090,35261,44282,33853,28207,25253,21007,12741,6493
"184","05","145","White County","Arkansas",9656,11194,11097,9364,9352,10227,8640,6170,3053
"185","05","147","Woodruff County","Arkansas",737,741,686,623,771,817,936,652,357
"186","05","149","Yell County","Arkansas",2727,2948,2449,2432,2639,2897,2581,1669,999
"187","06","001","Alameda County","California",189717,189631,230992,282254,231427,212286,175695,101255,58072
"188","06","003","Alpine County","California",90,137,133,96,110,151,232,127,53
"189","06","005","Amador County","California",3284,3347,3721,4580,4816,5762,6754,5159,2329
"190","06","007","Butte County","California",24478,27622,39858,26009,22751,24506,26903,17407,9652
"191","06","009","Calaveras County","California",4162,4468,4122,4685,4474,6657,8639,6014,2684
"192","06","011","Colusa County","California",3077,3351,2845,2856,2426,2529,2302,1421,740
"193","06","013","Contra Costa County","California",135224,150236,138080,153631,156310,160117,132500,82681,44747
"194","06","015","Del Norte County","California",3164,3211,3401,4084,3308,3496,3781,2263,1104
"195","06","017","El Dorado County","California",19152,22781,19203,21164,22702,29084,31003,18868,8886
"196","06","019","Fresno County","California",156774,152361,149596,142000,114948,108749,90670,54065,29938
"197","06","021","Glenn County","California",4120,4185,3738,3591,3081,3438,3232,1950,1058
"198","06","023","Humboldt County","California",14096,16071,22324,17411,16033,15366,18070,10969,5218
"199","06","025","Imperial County","California",29343,27437,26814,24951,20091,19426,16441,10349,6363
"200","06","027","Inyo County","California",2100,1977,1738,2224,1902,2326,2882,1762,1128
"201","06","029","Kern County","California",142639,141497,138374,128932,104903,98217,79412,44624,21604
"202","06","031","Kings County","California",23440,21926,26100,24044,18722,16036,11854,6890,3928
"203","06","033","Lake County","California",7650,7210,6580,7344,6750,8714,10167,6923,3048
"204","06","035","Lassen County","California",2974,2922,5273,5118,4128,3638,3444,2059,1017
"205","06","037","Los Angeles County","California",1180047,1219058,1520769,1514490,1324918,1294604,1028864,593709,362648
"206","06","039","Madera County","California",23776,23509,21851,20962,18704,17475,16027,10092,4931
"207","06","041","Marin County","California",25167,31602,22367,25800,35014,40387,37120,26733,14636
"208","06","043","Mariposa County","California",1504,1556,1709,1774,1647,2361,3237,2271,1144
"209","06","045","Mendocino County","California",10072,10041,9221,10209,10086,10671,13220,9241,3988
"210","06","047","Merced County","California",44191,47787,41803,37436,31897,29718,23523,13925,7400
"211","06","049","Modoc County","California",922,945,846,917,903,1148,1498,1129,533
"212","06","051","Mono County","California",1366,1520,2071,2148,1823,2017,2054,1005,440
"213","06","053","Monterey County","California",62322,63261,61442,60394,53016,49312,43627,25717,14970
"214","06","055","Napa County","California",14169,16949,16908,17210,17442,18700,17680,11747,6939
"215","06","057","Nevada County","California",8851,9707,8741,10747,10898,13472,18511,12837,5991
"216","06","059","Orange County","California",371611,398892,444986,430002,416349,437302,342694,210448,123408
"217","06","061","Placer County","California",45606,50901,41473,49146,52414,53443,49888,35869,19589
"218","06","063","Plumas County","California",1768,1890,1595,1966,1759,2531,3745,2534,1019
"219","06","065","Riverside County","California",326317,357193,344158,334555,306088,300743,248164,163713,89615
"220","06","067","Sacramento County","California",199227,198933,218601,234323,193270,192834,165093,96703,53074
"221","06","069","San Benito County","California",8472,9197,8292,8924,7963,8128,6443,3517,1872
"222","06","071","San Bernardino County","California",310557,319038,336273,309355,268052,260027,208007,112935,55841
"223","06","073","San Diego County","California",404476,401009,525821,511193,415622,406748,345873,207155,120433
"224","06","075","San Francisco County","California",71429,60728,147156,186214,118354,107120,93163,57331,40054
"225","06","077","San Joaquin County","California",110061,116003,106659,104553,94546,90222,73360,43605,23139
"226","06","079","San Luis Obispo County","California",26755,35664,46134,32713,29665,33373,39240,25978,13589
"227","06","081","San Mateo County","California",84971,84928,96602,117717,105149,103051,86611,53785,33759
"228","06","083","Santa Barbara County","California",55426,63740,82003,54217,47207,49219,45927,29624,19136
"229","06","085","Santa Clara County","California",225557,235148,274964,303690,264381,250390,189143,113547,71032
