state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
CA,CA 06073,404476,805485,406748,345873,207155,120433
CA,CA 06075,71429,132157,107120,93163,57331,40054
CA,CA 06077,110061,226064,90222,73360,43605,23139
CA,CA 06079,26755,62419,33373,39240,25978,13589
CA,CA 06081,84971,169899,103051,86611,53785,33759
CA,CA 06083,55426,119166,49219,45927,29624,19136
CA,CA 06085,225557,460705,250390,189143,113547,71032
CA,CA 06087,27904,65440,34345,35316,20507,9632
CA,CA 06089,21478,42627,23285,25214,17255,8498
CA,CA 06091,261,535,430,597,457,194
CA,CA 06093,4647,9647,5412,7628,5289,2261
CA,CA 06095,54196,108348,58545,53945,32328,16022
CA,CA 06097,50128,107580,66834,69248,45636,22737
CA,CA 06099,80483,162998,64615,53609,32302,17368
CA,CA 06101,13452,27300,11810,10107,6655,3927
CA,CA 06103,8278,16869,8669,8275,5822,3078
CA,CA 06105,1145,2300,1767,2474,1555,663
CA,CA 06107,77238,156115,49167,39755,23873,12533
CA,CA 06109,4958,10099,6911,9410,6621,3383
CA,CA 06111,101333,212631,114057,97210,59435,33712
CA,CA 06113,24615,59734,23061,20236,12239,6975
CA,CA 06115,12346,23501,8701,8013,4569,2032
CO,CO 08001,73188,147932,59806,46378,24046,11410
CO,CO 08003,2218,4767,1698,1653,1004,487
CO,CO 08005,82092,166965,80726,69604,38306,18846
CO,CO 08007,1326,2708,1983,2857,1771,575
CO,CO 08009,430,876,434,529,363,273
CO,CO 08011,428,952,689,658,475,275
CO,CO 08013,30853,75348,40964,37190,20848,10420
CO,CO 08014,7773,17084,8759,7348,4457,2283
CO,CO 08015,1597,3359,2712,3629,2347,1065
CO,CO 08017,270,496,238,262,143,109
CO,CO 08019,780,1611,1621,1787,972,295
CO,CO 08021,1102,2304,1004,1132,717,375
CO,CO 08023,386,820,517,705,508,216
CO,CO 08025,345,764,739,577,368,203
CO,CO 08027,375,777,759,1324,742,232
CO,CO 08029,3193,6717,4037,5365,3736,1894
CO,CO 08031,80773,153540,74721,64177,36905,19798
CO,CO 08033,199,434,280,366,264,109
CO,CO 08035,43559,97167,51019,35830,19806,8093
CO,CO 08037,6019,12924,7551,6242,3121,900
CO,CO 08039,2674,6304,4750,4249,2068,662
CO,CO 08041,95405,191595,85373,73257,42084,20007
CO,CO 08043,4045,8460,6518,6997,4766,2393
CO,CO 08045,8198,16454,7631,7200,3456,1502
CO,CO 08047,439,1001,1154,1203,463,124
CO,CO 08049,1270,2928,2265,2803,1316,377
CO,CO 08051,1513,3808,1982,2042,1046,375
CO,CO 08053,70,142,101,154,138,49
CO,CO 08055,574,1225,967,1427,988,509
CO,CO 08057,130,256,211,237,145,67
CO,CO 08059,60250,125756,79388,74535,43045,21527
CO,CO 08061,201,354,193,204,119,108
CO,CO 08063,957,1955,864,935,608,389
CO,CO 08065,883,1791,997,1027,467,207
CO,CO 08067,5539,12237,7366,8460,4439,1836
CO,CO 08069,36666,82030,39935,42578,25356,12241
CO,CO 08071,1362,3033,1807,2356,1671,843
CO,CO 08073,632,1255,741,627,441,284
CO,CO 08075,2263,4805,2733,2610,1678,1167
CO,CO 08077,17606,37258,18688,21085,13193,7219
CO,CO 08079,66,120,103,166,115,43
CO,CO 08081,1909,3691,1732,1676,926,428
CO,CO 08083,3058,6195,3398,4272,2608,1291
CO,CO 08085,4868,9927,5437,6553,4589,2536
CO,CO 08087,4294,8209,3410,3164,1828,1302
CO,CO 08089,2268,4944,2178,2382,1596,997
CO,CO 08091,364,834,765,1108,637,182
CO,CO 08093,1420,3122,3506,4074,1818,423
CO,CO 08095,532,1110,521,566,375,365
CO,CO 08097,1320,2871,2616,2760,1697,592
CO,CO 08099,1741,3547,1406,1532,948,538
CO,CO 08101,19857,41995,20687,21715,13721,7784
CO,CO 08103,812,1763,810,824,417,259
CO,CO 08105,1334,2804,1375,1624,1041,528
CO,CO 08107,2306,5084,3595,3755,1882,666
CO,CO 08109,722,1587,990,1330,751,228
CO,CO 08111,50,98,107,140,95,36
CO,CO 08113,692,1520,1242,1189,554,135
CO,CO 08115,226,467,268,375,249,193
CO,CO 08117,2751,5420,4229,4018,2079,487
CO,CO 08119,2174,4723,4344,5219,2641,751
CO,CO 08121,579,1214,630,714,421,293
