state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
Arkansas,Arkansas 05117,922,1797,1144,1145,859,545
Arkansas,Arkansas 05119,50926,98944,48150,46725,27108,14301
Arkansas,Arkansas 05121,2340,4628,2285,2193,1577,938
Arkansas,Arkansas 05123,2933,5717,3083,3089,1833,935
Arkansas,Arkansas 05125,14802,30822,15543,14343,10545,4803
Arkansas,Arkansas 05127,1267,2590,1491,1322,1033,524
Arkansas,Arkansas 05129,808,1715,1126,1220,920,513
Arkansas,Arkansas 05131,16928,33834,16500,14784,9255,4893
Arkansas,Arkansas 05133,2663,5303,2016,1705,1112,637
Arkansas,Arkansas 05135,1878,3901,2352,2662,2136,1138
Arkansas,Arkansas 05137,1241,2617,1755,2038,1623,862
Arkansas,Arkansas 05139,5065,10095,5094,4996,3086,1691
Arkansas,Arkansas 05141,1660,3522,2324,2595,2045,1140
Arkansas,Arkansas 05143,32090,67351,25253,21007,12741,6493
Arkansas,Arkansas 05145,9656,20850,10227,8640,6170,3053
Arkansas,Arkansas 05147,737,1478,817,936,652,357
Arkansas,Arkansas 05149,2727,5675,2897,2581,1669,999
California,California 06001,189717,379348,212286,175695,101255,58072
California,California 06003,90,227,151,232,127,53
California,California 06005,3284,6631,5762,6754,5159,2329
California,California 06007,24478,52100,24506,26903,17407,9652
California,California 06009,4162,8630,6657,8639,6014,2684
California,California 06011,3077,6428,2529,2302,1421,740
California,California 06013,135224,285460,160117,132500,82681,44747
California,California 06015,3164,6375,3496,3781,2263,1104
California,California 06017,19152,41933,29084,31003,18868,8886
California,California 06019,156774,309135,108749,90670,54065,29938
California,California 06021,4120,8305,3438,3232,1950,1058
California,California 06023,14096,30167,15366,18070,10969,5218
California,California 06025,29343,56780,19426,16441,10349,6363
California,California 06027,2100,4077,2326,2882,1762,1128
California,California 06029,142639,284136,98217,79412,44624,21604
California,California 06031,23440,45366,16036,11854,6890,3928
California,California 06033,7650,14860,8714,10167,6923,3048
California,California 06035,2974,5896,3638,3444,2059,1017
California,California 06037,1180047,2399105,1294604,1028864,593709,362648
California,California 06039,23776,47285,17475,16027,10092,4931
California,California 06041,25167,56769,40387,37120,26733,14636
California,California 06043,1504,3060,2361,3237,2271,1144
California,California 06045,10072,20113,10671,13220,9241,3988
California,California 06047,44191,91978,29718,23523,13925,7400
California,California 06049,922,1867,1148,1498,1129,533
California,California 06051,1366,2886,2017,2054,1005,440
California,California 06053,62322,125583,49312,43627,25717,14970
California,California 06055,14169,31118,18700,17680,11747,6939
California,California 06057,8851,18558,13472,18511,12837,5991
California,California 06059,371611,770503,437302,342694,210448,123408
California,California 06061,45606,96507,53443,49888,35869,19589
California,California 06063,1768,3658,2531,3745,2534,1019
California,California 06065,326317,683510,300743,248164,163713,89615
California,California 06067,199227,398160,192834,165093,96703,53074
California,California 06069,8472,17669,8128,6443,3517,1872
California,California 06071,310557,629595,260027,208007,112935,55841
California,California 06073,404476,805485,406748,345873,207155,120433
California,California 06075,71429,132157,107120,93163,57331,40054
California,California 06077,110061,226064,90222,73360,43605,23139
California,California 06079,26755,62419,33373,39240,25978,13589
California,California 06081,84971,169899,103051,86611,53785,33759
California,California 06083,55426,119166,49219,45927,29624,19136
California,California 06085,225557,460705,250390,189143,113547,71032
California,California 06087,27904,65440,34345,35316,20507,9632
California,California 06089,21478,42627,23285,25214,17255,8498
California,California 06091,261,535,430,597,457,194
California,California 06093,4647,9647,5412,7628,5289,2261
California,California 06095,54196,108348,58545,53945,32328,16022
California,California 06097,50128,107580,66834,69248,45636,22737
California,California 06099,80483,162998,64615,53609,32302,17368
California,California 06101,13452,27300,11810,10107,6655,3927
California,California 06103,8278,16869,8669,8275,5822,3078
California,California 06105,1145,2300,1767,2474,1555,663
California,California 06107,77238,156115,49167,39755,23873,12533
California,California 06109,4958,10099,6911,9410,6621,3383
California,California 06111,101333,212631,114057,97210,59435,33712
California,California 06113,24615,59734,23061,20236,12239,6975
California,California 06115,12346,23501,8701,8013,4569,2032
Colorado,Colorado 08001,73188,147932,59806,46378,24046,11410
Colorado,Colorado 08003,2218,4767,1698,1653,1004,487
Colorado,Colorado 08005,82092,166965,80726,69604,38306,18846
Colorado,Colorado 08007,1326,2708,1983,2857,1771,575
Colorado,Colorado 08009,430,876,434,529,363,273
Colorado,Colorado 08011,428,952,689,658,475,275
Colorado,Colorado 08013,30853,75348,40964,37190,20848,10420
Colorado,Colorado 08014,7773,17084,8759,7348,4457,2283
Colorado,Colorado 08015,1597,3359,2712,3629,2347,1065
Colorado,Colorado 08017,270,496,238,262,143,109
Colorado,Colorado 08019,780,1611,1621,1787,972,295
Colorado,Colorado 08021,1102,2304,1004,1132,717,375
Colorado,Colorado 08023,386,820,517,705,508,216
Colorado,Colorado 08025,345,764,739,577,368,203
Colorado,Colorado 08027,375,777,759,1324,742,232
Colorado,Colorado 08029,3193,6717,4037,5365,3736,1894
Colorado,Colorado 08031,80773,153540,74721,64177,36905,19798
Colorado,Colorado 08033,199,434,280,366,264,109
Colorado,Colorado 08035,43559,97167,51019,35830,19806,8093
Colorado,Colorado 08037,6019,12924,7551,6242,3121,900
Colorado,Colorado 08039,2674,6304,4750,4249,2068,662
Colorado,Colorado 08041,95405,191595,85373,73257,42084,20007
Colorado,Colorado 08043,4045,8460,6518,6997,4766,2393
Colorado,Colorado 08045,8198,16454,7631,7200,3456,1502
Colorado,Colorado 08047,439,1001,1154,1203,463,124
Colorado,Colorado 08049,1270,2928,2265,2803,1316,377
Colorado,Colorado 08051,1513,3808,1982,2042,1046,375
Colorado,Colorado 08053,70,142,101,154,138,49
Colorado,Colorado 08055,574,1225,967,1427,988,509
Colorado,Colorado 08057,130,256,211,237,145,67
Colorado,Colorado 08059,60250,125756,79388,74535,43045,21527
Colorado,Colorado 08061,201,354,193,204,119,108
Colorado,Colorado 08063,957,1955,864,935,608,389
Colorado,Colorado 08065,883,1791,997,1027,467,207
Colorado,Colorado 08067,5539,12237,7366,8460,4439,1836
Colorado,Colorado 08069,36666,82030,39935,42578,25356,12241
Colorado,Colorado 08071,1362,3033,1807,2356,1671,843
Colorado,Colorado 08073,632,1255,741,627,441,284
Colorado,Colorado 08075,2263,4805,2733,2610,1678,1167
Colorado,Colorado 08077,17606,37258,18688,21085,13193,7219
Colorado,Colorado 08079,66,120,103,166,115,43
Colorado,Colorado 08081,1909,3691,1732,1676,926,428
Colorado,Colorado 08083,3058,6195,3398,4272,2608,1291
Colorado,Colorado 08085,4868,9927,5437,6553,4589,2536
Colorado,Colorado 08087,4294,8209,3410,3164,1828,1302
Colorado,Colorado 08089,2268,4944,2178,2382,1596,997
Colorado,Colorado 08091,364,834,765,1108,637,182
Colorado,Colorado 08093,1420,3122,3506,4074,1818,423
Colorado,Colorado 08095,532,1110,521,566,375,365
Colorado,Colorado 08097,1320,2871,2616,2760,1697,592
Colorado,Colorado 08099,1741,3547,1406,1532,948,538
Colorado,Colorado 08101,19857,41995,20687,21715,13721,7784
Colorado,Colorado 08103,812,1763,810,824,417,259
Colorado,Colorado 08105,1334,2804,1375,1624,1041,528
Colorado,Colorado 08107,2306,5084,3595,3755,1882,666
Colorado,Colorado 08109,722,1587,990,1330,751,228
Colorado,Colorado 08111,50,98,107,140,95,36
Colorado,Colorado 08113,692,1520,1242,1189,554,135
Colorado,Colorado 08115,226,467,268,375,249,193
Colorado,Colorado 08117,2751,5420,4229,4018,2079,487
Colorado,Colorado 08119,2174,4723,4344,5219,2641,751
Colorado,Colorado 08121,579,1214,630,714,421,293
Colorado,Colorado 08123,46514,93572,37440,32455,17417,8171
Colorado,Colorado 08125,1544,2962,1182,1122,842,511
Connecticut,Connecticut 09001,107075,236017,141254,109676,64516,42236
Connecticut,Connecticut 09003,98299,209167,124828,106555,66136,42078
Connecticut,Connecticut 09005,15895,36137,29843,28187,17490,9379
Connecticut,Connecticut 09007,13924,32266,26174,23467,14667,8704
Connecticut,Connecticut 09009,89659,196682,120540,104525,65715,40075
Connecticut,Connecticut 09011,26684,57951,38578,34892,21923,12180
Connecticut,Connecticut 09013,12966,34696,20769,17987,10921,5804
Connecticut,Connecticut 09015,11946,26666,17392,15282,8652,4685
Delaware,Delaware 10001,22651,46483,23018,20870,14910,7063
Delaware,Delaware 10003,64873,135604,76967,65613,39400,21370
Delaware,Delaware 10005,23507,46825,31526,43354,31778,12963
District of Columbia,District of Columbia 11001,83545,149337,72452,61503,36974,22114
Florida,Florida 12001,27697,62293,27129,27683,17219,8770
Florida,Florida 12003,3786,7604,3821,3090,1829,910
Florida,Florida 12005,20000,39407,25132,22848,14392,7693
Florida,Florida 12007,3021,5985,3604,3277,2352,1206
Florida,Florida 12009,57388,121123,89032,91225,64893,38648
Florida,Florida 12011,225033,451640,277488,226097,144474,87780
Florida,Florida 12013,1434,3078,1888,1762,1220,642
Florida,Florida 12015,11573,24806,25321,38024,36287,20566
Florida,Florida 12017,11558,24156,19788,27822,26719,13623
Florida,Florida 12019,25672,55475,30767,27100,16457,6902
Florida,Florida 12021,34097,71559,47975,55838,59766,37965
Florida,Florida 12023,8487,17084,9080,9316,6372,3163
Florida,Florida 12027,3836,8001,4469,4383,4050,2360
Florida,Florida 12029,1630,3368,2413,2470,1901,915
Florida,Florida 12031,125315,237262,122567,106013,61168,29905
Florida,Florida 12033,37524,77205,40131,38861,24399,12560
Florida,Florida 12035,9516,21238,15398,20393,17140,8127
Florida,Florida 12037,1009,2032,1643,1900,1428,530
Florida,Florida 12039,5397,10870,6305,6055,3693,1970
Florida,Florida 12041,2035,4352,2522,2512,1740,947
Florida,Florida 12043,937,2242,1781,1850,1920,979
Florida,Florida 12045,1368,2728,2052,2305,1665,761
Florida,Florida 12047,1501,3069,1869,1828,1217,600
Florida,Florida 12049,3755,7634,3110,2677,2094,1235
Florida,Florida 12051,6188,12324,5244,3856,2698,1413
Florida,Florida 12053,18453,38944,25902,28916,25314,13627
Florida,Florida 12055,9584,19671,11940,15894,18075,11782
Florida,Florida 12057,180210,362142,190193,154489,95228,48379
Florida,Florida 12059,2116,4334,2654,2548,1734,987
Florida,Florida 12061,13207,27893,21058,27184,25116,14950
Florida,Florida 12063,4716,9797,5933,5941,4307,2454
Florida,Florida 12065,1262,2606,2152,2265,1602,785
Florida,Florida 12067,789,1899,1004,929,648,356
Florida,Florida 12069,36843,76141,46731,52272,47542,25197
Florida,Florida 12071,71621,148490,98204,115487,108251,56817
Florida,Florida 12073,30193,71273,30392,29620,18150,8501
Florida,Florida 12075,4425,8841,5830,6562,4984,2194
Florida,Florida 12077,748,1607,1069,903,568,270
Florida,Florida 12079,1839,3755,2473,2576,1768,870
Florida,Florida 12081,38275,79654,54039,61669,52577,29689
Florida,Florida 12083,36686,74190,45005,54126,52255,26598
Florida,Florida 12085,13600,28758,22554,25435,23040,15423
Florida,Florida 12086,307356,612328,384312,288500,192295,127150
Florida,Florida 12087,6418,12387,11879,11693,8315,3597
Florida,Florida 12089,9424,19117,12556,13636,9594,3942
Florida,Florida 12091,27000,51127,26521,24806,15222,7915
Florida,Florida 12093,5060,9881,5386,4985,3912,2246
Florida,Florida 12095,168934,345144,172919,130762,74985,38298
Florida,Florida 12097,48230,100548,45955,35692,23224,10769
Florida,Florida 12099,153068,316016,198367,185728,159150,116360
