Location,fips,location_indicator,city_geolocation,county_geolocation
"Indiana, Bloomington",Indiana 18105,0,"(39.1637458221, -86.5257124351)","(39.1609, -86.5231)"
"Rhode Island, Cranston",Rhode Island 44003,0,"(41.7658017135, -71.4861485002)","(41.6719, -71.5943)"
"Indiana, Gary",Indiana 18089,0,"(41.5904779239, -87.3472907397)","(41.4156, -87.3817)"
"California, Lakewood",California 06059,0,"(33.8470531941, -118.122204765)","(33.703, -117.7605)"
"Michigan, Farmington Hills",Michigan 26125,1,"(42.4859956992, -83.3771159714)","(42.6604, -83.3855)"
"Missouri, O'Fallon",Missouri 29183,1,"(38.7852244161, -90.7176856736)","(38.7819, -90.6752)"
"Indiana, Carmel",Indiana 18057,0,"(39.9658404613, -86.1461278461)","(40.0725, -86.052)"
"North Carolina, Concord",North Carolina 37025,0,"(35.3939316958, -80.6352429349)","(35.3868, -80.5519)"
"California, Merced",California 06047,0,"(37.3055863217, -120.477710571)","(37.1926, -120.718)"
"Wisconsin, Racine",Wisconsin 55101,0,"(42.7274599494, -87.813453024)","(42.7477, -88.0551)"
"Texas, Sugar Land",Texas 48157,0,"(29.5974680902, -95.627455775)","(29.5274, -95.7707)"
"California, Hemet",California 06059,0,"(33.7352277311, -116.994605005)","(33.703, -117.7605)"
"California, Chino",California 06059,1,"(33.983588126, -117.665296584)","(33.703, -117.7605)"
"Florida, Largo",Florida 12103,0,"(27.9090907734, -82.7714203383)","(27.928, -82.722)"
"California, Menifee",California 06059,0,"(33.6909533045, -117.18487699)","(33.703, -117.7605)"
"Georgia, Albany",Georgia 13095,0,"(31.5776036766, -84.1763240815)","(31.5333, -84.2164)"
"New Jersey, Camden",New Jersey 34007,1,"(39.9361910066, -75.1072961899)","(39.8038, -74.9599)"
"California, Lake Forest",California 06059,0,"(33.6634128948, -117.670683341)","(33.703, -117.7605)"
"Texas, Edinburg",Texas 48215,0,"(26.3155843974, -98.1637130371)","(26.3968, -98.1811)"
"New York, New Rochelle",New York 36005,1,"(40.9321713141, -73.7843883178)","(40.8527, -73.8669)"
"Texas, Mission",Texas 48215,0,"(26.2033406464, -98.322770513)","(26.3968, -98.1811)"
"California, Napa",California 06055,0,"(38.2980424649, -122.301093331)","(38.5066, -122.3305)"
"California, Redwood City",California 06081,0,"(37.5009145276, -122.224767617)","(37.4218, -122.3293)"
"Indiana, Fishers",Indiana 18057,0,"(39.9587635263, -85.969310702)","(40.0725, -86.052)"
"Missouri, St. Joseph",Missouri 29021,0,"(39.7598312179, -94.8209246813)","(39.6598, -94.8062)"
"Georgia, Johns Creek",Georgia 13135,0,"(34.0332991998, -84.2027195506)","(33.9617, -84.0235)"
"Oregon, Bend",Oregon 41017,0,"(44.0561827184, -121.308690416)","(43.9149, -121.2279)"
"California, Bellflower",California 06059,0,"(33.8880417923, -118.127100236)","(33.703, -117.7605)"
"Illinois, Bloomington",Illinois 17113,0,"(40.4756778366, -88.9700813515)","(40.4908, -88.8473)"
"Massachusetts, Lawrence",Massachusetts 25009,0,"(42.7002772201, -71.1626790341)","(42.6729, -70.9581)"
"Arizona, Avondale",Arizona 04013,0,"(33.3858367405, -112.323626619)","(33.3488, -112.4912)"
"Texas, Bryan",Texas 48041,0,"(30.6665687582, -96.3663819223)","(30.6611, -96.3023)"
"Illinois, Decatur",Illinois 17115,0,"(39.8555822645, -88.9336983421)","(39.8599, -88.9617)"
"Pennsylvania, Scranton",Pennsylvania 42069,0,"(41.4043729362, -75.6649126898)","(41.437, -75.6092)"
"Florida, Melbourne",Florida 12009,0,"(28.1158805782, -80.6508814613)","(28.2631, -80.7436)"
"California, Indio",California 06065,1,"(33.7298067837, -116.237258141)","(33.7437, -115.9939)"
"Minnesota, Brooklyn Park",Minnesota 27053,1,"(45.1112033916, -93.3505067942)","(45.0045, -93.4768)"
"Massachusetts, Somerville",Massachusetts 25025,0,"(42.3905738858, -71.1017450879)","(42.3308, -71.0818)"
"Virginia, Lynchburg",Virginia 51680,0,"(37.4004163016, -79.1911081)","(37.4005, -79.191)"
"California, Tustin",California 06059,0,"(33.7308520326, -117.810730968)","(33.703, -117.7605)"
"California, Baldwin Park",California 06037,0,"(34.082871519, -117.972100918)","(34.3203, -118.2252)"
"Florida, Palm Coast",Florida 12035,0,"(29.5405590976, -81.2508206143)","(29.4605, -81.3145)"
"Illinois, Arlington Heights",Illinois 17097,0,"(42.095623342, -87.9825627457)","(42.3231, -88.0036)"
"Idaho, Meridian",Idaho 16001,1,"(43.6185195383, -116.39758487)","(43.4511, -116.2411)"
"Florida, Deerfield Beach",Florida 12011,0,"(26.3049966413, -80.1277706584)","(26.1519, -80.4886)"
"Pennsylvania, Bethlehem",Pennsylvania 42095,0,"(40.6266402578, -75.3679048175)","(40.7543, -75.3074)"
"Oregon, Medford",Oregon 41029,0,"(42.3371987584, -122.853625909)","(42.4321, -122.7284)"
"California, Chino Hills",California 06059,0,"(33.950774546, -117.725326968)","(33.703, -117.7605)"
"Illinois, Evanston",Illinois 17031,0,"(42.0463099649, -87.6940348773)","(41.8399, -87.8167)"
"Michigan, Kalamazoo",Michigan 26077,0,"(42.2748756474, -85.588188576)","(42.2454, -85.5311)"
"Illinois, Schaumburg",Illinois 17043,0,"(42.0305488755, -88.0838663543)","(41.852, -88.0857)"
"California, Mountain View",California 06081,0,"(37.3999252379, -122.079544343)","(37.4218, -122.3293)"
"Washington, Kennewick",Washington 53005,0,"(46.198438428, -119.173245847)","(46.2398, -119.5112)"
"California, Alameda",California 06075,0,"(37.7650849031, -122.266489842)","(37.7558, -122.4424)"
"California, Upland",California 06059,0,"(34.1178445701, -117.660290062)","(33.703, -117.7605)"
"Arkansas, Fayetteville",Arkansas 05143,0,"(36.0712117312, -94.1659600436)","(35.98, -94.2147)"
"Illinois, Bolingbrook",Illinois 17043,0,"(41.6911653908, -88.1011218035)","(41.852, -88.0857)"
"Connecticut, New Britain",Connecticut 09003,0,"(41.675922654, -72.7861630705)","(41.8064, -72.7328)"
"Ohio, Canton",Ohio 39151,0,"(40.8080192662, -81.3676594998)","(40.8138, -81.3659)"
"Utah, St. George",Utah 49053,0,"(37.0787444634, -113.579352503)","(37.2804, -113.5049)"
"Wisconsin, Appleton",Wisconsin 55087,1,"(44.2776987457, -88.3897664444)","(44.4161, -88.4649)"
"California, Folsom",California 06067,0,"(38.6750494328, -121.147605753)","(38.4542, -121.3384)"
"California, San Ramon",California 06001,0,"(37.7623705462, -121.938150371)","(37.6466, -121.886)"
"Michigan, Wyoming",Michigan 26081,1,"(42.8909745661, -85.7067229249)","(43.0322, -85.5492)"
"Louisiana, Lake Charles",Louisiana 22019,0,"(30.2030679966, -93.2148796496)","(30.2292, -93.3579)"
"Texas, Baytown",Texas 48071,0,"(29.7571153043, -94.9676276217)","(29.739, -94.6073)"
"North Carolina, Gastonia",North Carolina 37071,0,"(35.2472984431, -81.1836588468)","(35.2945, -81.1801)"
"Michigan, Southfield",Michigan 26163,0,"(42.4765016267, -83.2605284738)","(42.284, -83.2865)"
"Rhode Island, Pawtucket",Rhode Island 44007,1,"(41.8744534517, -71.3743580803)","(41.8724, -71.5811)"
"Michigan, Rochester Hills",Michigan 26099,0,"(42.6645256768, -83.1563037157)","(42.6956, -82.9322)"
"Delaware, Wilmington",Delaware 10003,1,"(39.7412748227, -75.5418960925)","(39.5811, -75.6488)"
"Wisconsin, Waukesha",Wisconsin 55133,1,"(43.0093332215, -88.2457679157)","(43.0181, -88.3045)"
"Minnesota, Plymouth",Minnesota 27053,0,"(45.022462874, -93.4616016242)","(45.0045, -93.4768)"
"Texas, Pharr",Texas 48215,0,"(26.168815399, -98.1904720704)","(26.3968, -98.1811)"
